MoleculeType	Identifier	MoleculeName	
Proteins	P01715	UniProt:P01715 Ig lambda chain V-IV region Bau	
Proteins	P06331	UniProt:P06331 Ig heavy chain V-II region ARH-77	
Proteins	P01619	UniProt:P01619 Ig kappa chain V-III region B6	
Proteins	P01722	UniProt:P01722 Ig lambda chain V-VI region NIG-48	
Proteins	P01768	UniProt:P01768 Ig heavy chain V-III region CAM	
Proteins	Q5NV75	UniProt:Q5NV75 IGLV3-22	
Proteins	P06326	UniProt:P06326 Ig heavy chain V-I region Mot	
Proteins	P06310	UniProt:P06310 Ig kappa chain V-II region RPMI 6410	
Proteins	P01703	UniProt:P01703 Ig lambda chain V-I region NEWM	
Proteins	Q5NV85	UniProt:Q5NV85 IGLV3-12	
Proteins	P01610	UniProt:P01610 Ig kappa chain V-I region WEA	
Proteins	Q5NV80	UniProt:Q5NV80 IGLV7-43	
Proteins	P04211	UniProt:P04211 Ig lambda chain V region 4A	
Proteins	P01776	UniProt:P01776 Ig heavy chain V-III region WAS	
Proteins	P01744	UniProt:P01744 Ig heavy chain V-I region ND	
Proteins	P01762	UniProt:P01762 Ig heavy chain V-III region TRO	
Proteins	P01766	UniProt:P01766 Ig heavy chain V-III region BRO	
Proteins	P06888	UniProt:P06888 Ig lambda chain V-I region EPS	
Proteins	P01818	UniProt:P01818 Ig heavy chain V-II region HE	
Proteins	P01774	UniProt:P01774 Ig heavy chain V-III region POM	
Proteins	P04432	UniProt:P04432 Ig kappa chain V-I region Daudi	
Proteins	P01700	UniProt:P01700 Ig lambda chain V-I region HA	
Proteins	Q5NV83	UniProt:Q5NV83 IGLV7-46	
Proteins	P06319	UniProt:P06319 Ig lambda chain V-VI region EB4	
Proteins	P01770	UniProt:P01770 Ig heavy chain V-III region NIE	
Proteins	P01614	UniProt:P01614 Ig kappa chain V-II region Cum	
Proteins	P04433	UniProt:P04433 Ig kappa chain V-III region VG	
Proteins	P04206	UniProt:P04206 Ig kappa chain V-III region GOL	
Proteins	P0CG04	UniProt:P0CG04 IGLC1	
Proteins	P06313	UniProt:P06313 Ig kappa chain V-IV region JI	
Proteins	P06315	UniProt:P06315 Ig kappa chain V region EV15	
Proteins	Q5NV92	UniProt:Q5NV92 IGLV4-69	
Proteins	Q5NV86	UniProt:Q5NV86 IGLV10-54	
Proteins	P0CG05	UniProt:P0CG05 IGLC2	
Proteins	P01615	UniProt:P01615 Ig kappa chain V-II region FR	
Proteins	P01603	UniProt:P01603 Ig kappa chain V-I region Ka	
Proteins	P01717	UniProt:P01717 Ig lambda chain V-IV region Hil	
Proteins	P01877	UniProt:P01877 IGHA2	
Proteins	P01816	UniProt:P01816 Ig heavy chain V-II region DAW	
Proteins	P01720	UniProt:P01720 Ig lambda chain V-VII region MOT	
Proteins	P01605	UniProt:P01605 Ig kappa chain V-I region Lay	
Proteins	P01775	UniProt:P01775 Ig heavy chain V-III region LAY	
Proteins	P01769	UniProt:P01769 Ig heavy chain V-III region GA	
Proteins	P01719	UniProt:P01719 Ig lambda chain V-V region DEL	
